Id number,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type of glass
1,6,6,13,3,4,0,4,0,3,1
2,3,6,11,4,7,1,3,0,0,1
3,3,5,11,5,7,0,3,0,4,1
4,4,5,11,4,6,1,3,0,2,1
5,3,5,11,4,8,1,3,0,0,1
6,2,4,11,5,7,1,3,0,0,1
7,3,5,11,3,8,1,3,0,0,1
8,3,5,11,3,8,1,3,0,0,1
9,4,6,11,4,5,1,3,0,0,1
10,3,4,11,4,7,1,3,0,6,1
11,2,4,10,5,8,1,3,0,0,1
12,3,4,11,4,7,1,4,0,0,1
13,2,4,10,4,8,1,3,0,4,1
14,3,4,11,4,8,1,3,0,0,1
15,3,3,11,4,8,1,3,0,0,1
16,3,4,11,4,8,1,3,0,0,1
17,4,4,11,3,8,1,4,0,0,1
18,6,7,12,2,3,0,4,0,0,1
19,4,6,11,3,5,0,4,0,0,1
20,3,4,11,6,7,1,3,0,0,1
21,3,4,11,5,7,1,4,0,0,1
22,5,8,11,0,5,0,4,0,0,1
23,3,4,11,4,7,1,4,0,0,1
24,3,4,11,4,8,1,4,0,1,1
25,3,5,10,3,7,1,3,0,2,1
26,3,4,11,4,7,1,4,0,0,1
27,4,5,10,4,7,1,3,0,3,1
28,3,4,10,4,8,1,3,0,0,1
29,4,3,10,4,8,1,4,0,7,1
30,4,4,10,4,7,1,3,0,0,1
31,4,4,11,4,8,1,4,0,6,1
32,3,4,10,3,8,1,4,0,0,1
33,4,4,10,4,7,1,4,0,0,1
34,3,3,10,4,8,1,4,0,0,1
35,4,4,11,4,7,1,4,0,0,1
36,2,5,10,4,7,1,4,0,0,1
37,4,6,11,4,4,1,4,0,0,1
38,4,4,10,4,7,1,4,0,0,1
39,6,7,11,0,4,0,5,0,6,1
40,6,7,11,0,4,0,5,0,0,1
41,4,4,10,3,8,1,4,0,0,1
42,3,4,10,3,8,1,4,0,0,1
43,4,5,10,4,7,1,4,0,0,1
44,6,6,11,1,4,0,5,0,0,1
45,4,4,10,3,7,1,4,0,6,1
46,4,5,10,4,5,1,4,0,0,1
47,4,5,10,3,7,1,4,0,4,1
48,9,6,11,1,4,0,5,0,0,1
49,6,5,11,2,5,0,5,0,4,1
50,4,5,10,4,5,1,4,0,3,1
51,7,6,11,0,4,0,6,0,0,1
52,4,5,10,4,6,1,4,0,0,1
53,4,5,8,3,7,1,4,0,4,1
54,4,5,8,4,7,1,4,0,0,1
55,4,5,8,4,7,1,4,0,0,1
56,4,3,8,4,9,1,4,0,1,1
57,0,4,10,3,7,1,3,0,0,1
58,4,4,10,4,7,1,3,0,4,1
59,3,5,11,3,7,1,3,0,0,1
60,3,5,11,3,7,1,3,0,4,1
61,4,6,11,3,7,0,4,0,7,1
62,5,6,11,4,4,0,4,3,7,1
63,6,5,12,2,4,0,5,0,8,1
64,6,7,11,2,3,0,5,0,0,1
65,6,5,11,2,5,0,5,0,0,1
66,6,6,11,3,5,0,5,0,0,1
67,6,4,11,2,6,0,5,0,0,1
68,6,4,11,2,6,0,5,0,2,1
69,6,5,11,2,5,0,5,0,0,1
70,7,5,11,2,5,0,6,0,0,1
71,2,8,11,6,5,0,2,0,6,2
72,4,6,12,4,5,1,3,0,0,2
73,2,4,11,5,8,1,3,0,0,2
74,3,5,11,5,7,1,3,0,0,2
75,2,4,11,5,8,1,3,0,0,2
76,2,4,11,5,8,1,3,0,6,2
77,3,5,11,5,6,1,3,0,9,2
